region_name,state_name,lat_max,lat_min,lng_max,lng_min,lat_avg,lng_avg,yearly_sunlight_kwh_kw_threshold_avg,count_qualified,percent_covered,percent_qualified,number_of_panels_n,number_of_panels_s,number_of_panels_e,number_of_panels_w,number_of_panels_f,yearly_sunlight_kwh_n,yearly_sunlight_kwh_s,yearly_sunlight_kwh_e,yearly_sunlight_kwh_w,yearly_sunlight_kwh_f,existing_installs_count
86406.0,Arizona,34.5076487,34.4466066,-114.2457773,-114.3332843,34.47310833967512,-114.28294465283524,1349.8,10013,99.93191323801187,97.45960677438194,92654,160513,155010,149216,182123,32517001.226257306,69752928.84745474,61806378.470941015,57146344.786590494,73122088.43255004,259
86434.0,Arizona,36.0120613,35.5247874,-113.3701384,-113.8110971,35.552316901398605,-113.42202961468524,1349.8,1,0.6993006993006992,100.0,0,0,0,0,98,0.0,0.0,0.0,0.0,37647.785479736325,0
87002.0,New Mexico,34.7518981,34.5711048,-106.7174978,-106.8308817,34.66350845016213,-106.76466269006286,1426.3,4220,94.79305740987984,84.90945674044265,10412,43656,29430,30929,130946,3819996.662182615,20002784.132098388,12114033.059149183,12356579.193774397,54680552.19603884,11
87004.0,New Mexico,35.3902364,35.2198998,-106.5205227,-106.5860632,35.308156731502834,-106.55480904977988,1422.9,8,0.2305596311045902,72.72727272727273,0,0,0,0,1152,0.0,0.0,0.0,0.0,480886.90524902334,0
87008.0,New Mexico,35.2070031,35.0888265,-106.3415732,-106.4806662,35.1288296393985,-106.3645040727819,1432.25,453,96.99248120300751,70.23255813953489,278,6062,3452,2422,5914,100295.39763183592,2599555.137896728,1372960.952630615,927928.2652099603,2330462.984991456,9
87015.0,New Mexico,35.176108,35.0231881,-106.1192383,-106.2563285,35.07523749745084,-106.20382258361236,1414.1635822510823,841,86.16168973051711,71.09044801352493,2860,9203,5304,6804,30340,1028769.4832031252,4085135.3020812976,2134285.8882934568,2662681.144409179,12310496.805895995,4
87022.0,New Mexico,34.9091177,34.9055198,-106.6897654,-106.6955695,34.907338508333325,-106.69312044166664,1432.25,10,100.0,83.33333333333333,0,0,48,35,505,0.0,0.0,19785.68076171875,13409.469677734374,211844.04694824215,0
87031.0,New Mexico,34.8535674,34.7087463,-106.5467027,-107.0002798,34.80357418939756,-106.73699240752426,1426.3,6156,94.1594317284925,86.00167644593462,9798,65359,56935,53302,186039,3587091.222991944,29917769.71610721,23606168.223052934,20874196.86725469,77413792.66798721,17
87035.0,New Mexico,35.0330029,34.7749476,-105.822769,-106.1557849,35.00173269923664,-106.0491510335878,1408.45,930,91.6030534351145,70.45454545454545,1995,8025,4753,6484,44394,720368.7558410646,3601365.3175048814,1929407.6436401363,2510183.7865966805,18207101.9723999,3
87042.0,New Mexico,34.8669411,34.8129904,-106.6702811,-106.7103455,34.829570606384614,-106.68860323230751,1426.3,962,96.92307692307692,76.34920634920636,2034,9016,6975,6608,22889,746915.2673950194,4030682.1044494607,2849707.6852233885,2576016.452923581,9348556.697613534,0
87047.0,New Mexico,35.2695749,35.1564375,-106.2132026,-106.3516909,35.17135903703703,-106.337270610101,1432.25,129,64.3097643097643,67.53926701570681,17,838,680,506,5615,6140.861938476562,359713.6671264649,268478.1817810058,188184.71644897456,2228045.7209045417,1
87048.0,New Mexico,35.2782358,35.2023073,-106.5910262,-106.661645,35.23499719140764,-106.62143430392004,1423.1152173913076,4192,98.77252029301128,84.02485468029666,6031,26918,20307,14445,185432,2181501.371722412,11828641.41954956,8333096.190057377,5563663.560278329,75723520.14279774,160
87059.0,New Mexico,35.1251695,34.9507351,-106.2657984,-106.4638928,35.08393586207827,-106.36172989230766,1432.25,478,90.2834008097166,71.44992526158445,1093,4867,4563,4507,12356,401216.4711364748,2173001.432110595,1843143.1319885247,1751651.5242736803,5039616.3880615225,5
87068.0,New Mexico,34.9073296,34.8357033,-106.6766375,-106.7057963,34.85707600761486,-106.69324313587184,1426.3276529821849,1216,96.34990560100691,79.42521227955585,2236,10693,8375,10167,33295,817493.0605895995,4800169.091961669,3363253.8083374007,3997016.344122313,13659062.459802236,3
87101.0,New Mexico,35.0723036,35.0716803,-106.6459052,-106.6476668,35.0720117,-106.6467028875,1432.25,8,100.0,50.0,0,68,16,46,98,0.0,31072.227294921875,6124.7376708984375,18159.105944824216,40566.97569580078,0
87102.0,New Mexico,35.1117845,35.0437217,-106.6241108,-106.6661358,35.08225406023075,-106.64865483560077,1432.25,6979,98.03003918154114,77.48417897191074,6221,58341,37640,35503,521789,2241541.5420532227,25911712.85800169,15051386.56848756,13747155.550244126,214123015.1226253,39
87104.0,New Mexico,35.1265161,35.0795421,-106.6549667,-106.6903856,35.103262470996505,-106.67189965543685,1432.25,4576,98.47902097902096,81.23557606958991,4089,32939,23978,22771,213427,1492910.2887023927,14681415.089739991,9613192.504821774,8830403.40588991,87397956.64055191,67
87105.0,New Mexico,35.1062134,34.8975945,-106.4639848,-106.7236251,35.034711585642135,-106.6858418981198,1432.25,19581,96.51302439226403,84.0205964385325,34686,174902,128745,138594,628862,12684645.354809573,78539915.22318724,51867877.54562384,54923480.11129766,258981423.66179135,71
87106.0,New Mexico,35.106296,34.9940521,-106.5988422,-106.6434298,35.07857015501755,-106.61702351208882,1432.25,8359,98.98903905501757,89.86239518383142,13918,42465,30584,37710,632239,5229281.482855222,19090906.433593743,12184270.473309312,14821447.978759767,259209512.45053735,150
87107.0,New Mexico,35.1740418,35.1057176,-106.5998667,-106.685539,35.13472013649,-106.64386623525532,1432.25,13226,98.79767291531996,86.53493849777546,14020,88485,77316,67857,1007081,5109674.819012451,39484164.18534548,31686368.444610573,26183137.479388416,414875816.8100088,197
87108.0,New Mexico,35.0872581,35.0502021,-106.5506156,-106.6043111,35.07318951179796,-106.57871026134944,1432.25,10248,99.44374663556432,92.45759653554671,11401,56444,34996,42235,643827,4171643.738000488,25670626.9770996,14195837.136798086,16812258.632946793,266822313.83413103,140
87109.0,New Mexico,35.1740717,35.1266394,-106.5335833,-106.6076254,35.153453141720085,-106.56607383376054,1432.25,11637,99.36713995943204,95.0191883726627,24099,134592,81384,95213,924762,8794138.177575685,61004404.20576792,33071655.633435123,37662848.59888922,384230757.26691264,150
87110.0,New Mexico,35.1302391,35.0847955,-106.550748,-106.6067275,35.10878682826253,-106.5794652186112,1432.25,15051,99.67660114140772,95.7503657993511,20958,117121,97680,120176,782279,7633734.450634768,52154395.938976966,39256147.79954223,47361540.267974846,322871451.92416346,174
87111.0,New Mexico,35.1669016,35.1122235,-106.468851,-106.5726386,35.13693131371141,-106.51922151660928,1432.25,18746,99.2368696693102,94.21994370727785,32962,202153,144424,161007,719691,12001526.841149917,91336358.85639632,58150455.295507774,64164714.6697327,297916420.96131027,319
87112.0,New Mexico,35.1186141,35.0804787,-106.4747298,-106.5537959,35.101075688977865,-106.518795739782,1432.25,15586,99.79668535518451,96.22175577231756,29710,130578,94794,113537,641977,10866964.262622088,58720694.15873416,38381214.40630511,45130080.33592526,265502440.91282952,133
87113.0,New Mexico,35.2156767,35.1406658,-106.5473127,-106.6241338,35.17481186643415,-106.59206454203624,1432.25,5593,99.18618169739244,93.65371734762223,6784,50239,47286,56332,392250,2477055.176983641,23036023.643731672,19174456.125451654,22129493.320959494,163242718.89782676,63
87114.0,New Mexico,35.2262144,35.1698124,-106.52549,-106.7759221,35.199370974134354,-106.69063465362996,1432.1097269011318,20615,99.05067645035543,95.44865265302344,14261,261536,219123,209265,565976,5193138.887377936,119717750.67584254,89155404.60742801,82259840.9760375,234241952.2140683,207
87116.0,New Mexico,35.0657202,34.9472987,-106.5338827,-106.7192599,35.05503254541065,-106.56352789752412,1432.25,1575,99.15458937198068,95.9196102314251,4380,26968,16500,18934,267051,1570891.4303039557,12399828.892736807,6697866.6936035175,7597450.746337885,110923502.27634278,2
87120.0,New Mexico,35.1826119,35.0889459,-106.5684404,-106.7759337,35.13592435285775,-106.70919461379786,1432.25,20294,99.78866294087257,95.5101656626506,14850,228364,168981,182776,507512,5393661.032586672,105106049.45442475,68550636.14257817,72593063.3363949,211321966.74730915,206
87121.0,New Mexico,35.1611571,34.9473333,-106.6970897,-106.9545894,35.051788509669485,-106.73256628405518,1432.25,19800,96.34948016224531,95.80954224329818,25109,240779,252559,265043,386424,9524364.181500249,112212529.5702634,102677833.54496416,105224790.71201786,162238436.94664943,51
87122.0,New Mexico,35.3182051,35.1582047,-106.4759492,-106.6850138,35.17858382739706,-106.51866605744029,1432.25,3463,53.20350825033447,96.7588711930707,2368,36407,23544,29331,147226,865534.2820800784,16836116.263818327,9521559.522973647,11549316.714404289,61398507.800640695,96
87123.0,New Mexico,35.0871981,34.9914534,-106.4430948,-106.5832451,35.06839636728032,-106.51300328636194,1432.25,12848,98.91704570067144,93.77417706736735,18630,120903,104043,123659,528621,6811438.589453124,55112830.03891596,42083986.66245729,49287657.9072388,219729774.73834893,146
87124.0,New Mexico,35.305204,35.2136393,-106.6285087,-106.7808069,35.24803437944835,-106.6835974127995,1422.9051075033854,19804,99.14831841277521,96.65674264239347,34918,260664,235200,257039,504336,12641661.719750978,118627222.71701096,94617870.07183872,103093734.63529664,209285210.45885003,200
87144.0,New Mexico,35.3924519,35.2659143,-106.5711365,-106.8419559,35.307495508841086,-106.65459655293542,1422.9,2336,16.891047883414295,95.97370583401808,5076,32690,26543,24686,49559,1834280.5110107448,14977134.261090094,10968891.405212425,9765237.783203112,20646583.990002435,28
87401.0,New Mexico,36.8243424,36.694653,-108.0154335,-108.3002785,36.73938548028383,-108.1894213863048,1392.3,10417,80.27693579498485,89.39328928173002,23084,123306,75977,106294,489415,8202590.126251221,54647714.64553843,29935007.948217776,41536148.914740056,198747068.93695056,15
87402.0,New Mexico,36.8193332,36.7415443,-108.1015026,-108.1750866,36.771949806905,-108.145501110502,1392.3,2596,62.14476021314388,92.74740978921044,3889,33667,19575,25182,129844,1377669.9403869626,15137595.510974124,7692716.534283453,9823492.159564206,52847012.85535278,4
87501.0,New Mexico,35.7431354,35.6689946,-105.876394,-105.9805684,35.690557495881215,-105.94022288414226,1413.55,7637,96.89229459344402,83.88620386643235,2840,10684,14921,9159,434345,1027635.2111206056,4792089.451409913,6012522.448303227,3617606.873046877,177902396.8536256,130
87505.0,New Mexico,35.690106,35.5387806,-105.8349238,-105.9880625,35.65604345868506,-105.9505140815868,1413.55,12215,95.14103355981058,88.11224121762966,9178,30737,22779,24563,851910,3313170.450225833,13887733.566717524,9104317.185351565,9812735.13740235,350660697.5333175,175
87506.0,New Mexico,35.9695392,35.4549466,-105.8367586,-106.0932969,35.78127978551778,-105.9898267568129,1413.55,1624,48.04048793148196,87.7363587250135,676,2924,2952,2496,102109,244488.22535400387,1319019.3207336424,1217911.4239562987,957109.408624268,42135565.03111578,31
87507.0,New Mexico,35.7241777,35.5522469,-105.9205808,-106.1343178,35.64161318386909,-106.02172036093488,1413.55,11884,98.70550161812298,86.58652094717668,14141,40460,31262,38116,732607,5125657.095916751,18279071.61984253,12398395.423248287,15343226.259838851,302356645.9717102,96
87508.0,New Mexico,35.6921682,35.4375724,-105.8293738,-106.1289198,35.579149625212715,-105.98430275526032,1413.55,3050,71.633118904337,88.35457705677868,6519,15957,9344,11145,188252,2375223.314599608,7259018.228100586,3779377.823309324,4472544.67028198,78201372.22092892,43
88001.0,New Mexico,32.3668614,32.2486157,-106.7252031,-106.7887679,32.306775528720024,-106.76136219316196,1423.75,11068,99.58234378838753,91.01973684210526,45341,78699,62791,68273,577571,16797979.34629517,35454265.16093147,24732808.731750485,28708751.46176758,242846284.57609183,111
88003.0,New Mexico,32.2847775,32.2705044,-106.7392208,-106.7636992,32.27840851210193,-106.75094140509556,1423.75,140,99.36305732484077,89.74358974358972,238,2763,2372,2848,58013,87503.99997558593,1265821.4281494142,923942.5596984862,1180401.0435913082,24330726.45893555,10
88005.0,New Mexico,32.361013,32.2355041,-106.7429068,-106.8658923,32.30764259184757,-106.78593058149572,1423.75,9567,99.67769456820552,90.98430813124111,39011,84201,70139,78706,506194,14430684.495721452,37902732.38576054,27596452.582012955,32903887.877764896,213161001.90991777,139
88007.0,New Mexico,32.5015128,32.2501304,-106.7791018,-107.1212217,32.351966624344115,-106.82064043224698,1423.75,4841,90.61854030847513,84.94472714511316,25100,48182,47107,54278,176631,9256914.362341303,21938512.094860878,18530270.221038807,22642806.20664669,74608073.23906867,63
88008.0,New Mexico,31.9015564,31.7847813,-106.6019848,-106.7080536,31.85892882589753,-106.64332933356184,1424.018100358423,291,13.674868898749496,85.84070796460178,1351,3182,2183,3176,10005,497485.608959961,1439301.915222169,852475.0224670408,1328914.7108032224,4226888.7347045895,2
88011.0,New Mexico,32.438938,32.2471752,-106.4975329,-106.7670746,32.33341894528092,-106.72906797440588,1423.75,7438,86.71996446813236,95.23687580025609,18103,53764,45588,47643,414738,6636997.333227536,24548966.157086164,18434290.95656128,19551618.989459187,175347541.4822149,210
88012.0,New Mexico,32.501897,32.350188,-106.5942378,-106.8057162,32.38440313917621,-106.7353097556889,1423.75,3941,78.42630217953455,92.81676872350448,9289,38705,27229,34488,104890,3400460.79660034,17798539.389233395,10884187.74019776,14122644.248358143,44454232.71157846,48
88032.0,New Mexico,32.3890846,32.386525,-106.8145883,-106.8170311,32.3878948244898,-106.81564558775506,1423.75,38,95.91836734693878,80.85106382978724,167,121,12,5,1281,62297.84960327148,53860.92817382812,4633.128784179688,2189.774731445312,536951.5843872068,0
88046.0,New Mexico,32.2744492,32.270496,-106.7940331,-106.7985611,32.27281362372881,-106.7964481610169,1423.75,48,100.0,81.35593220338983,100,238,132,114,2161,36786.43073730468,107319.57641601564,57103.010894775376,46855.19787597656,916678.653833008,0
88047.0,New Mexico,32.2753125,32.209218,-106.7230493,-106.7653696,32.268808624,-106.76065635200004,1423.75,19,96.0,79.16666666666667,24,168,33,55,1414,9108.587548828125,76557.94111328125,12054.169165039062,22160.551293945315,595985.6855041503,0
88063.0,New Mexico,31.8463569,31.7840705,-106.5291991,-106.6800576,31.804887126529255,-106.58328709541236,1423.75,2551,97.80585106382979,86.70972127804214,17490,27977,16487,24077,81936,6514508.3835083,12629435.41375734,6646598.875018321,9887084.44980469,34420165.783233635,6
89002.0,Nevada,36.0130285,35.9511457,-114.9123737,-114.9982658,35.99943070848691,-114.96399428837094,1390.6,10162,99.74198304460008,93.8839615668884,5336,170390,97687,141868,58501,1851843.6050903308,74518939.62193608,38682674.217321835,53426904.293054216,23524419.793981902,539
89005.0,Nevada,36.0712308,35.912244,-114.7365428,-114.9292294,35.97320955417836,-114.83549142619152,1390.6,4595,97.71919985043932,87.908934379185,10759,67437,60946,57522,104812,3809001.577038576,29517512.132025138,24090976.41653447,22151548.274487317,42179674.8339966,117
89009.0,Nevada,36.0410701,36.0337769,-114.9733782,-114.9797277,36.03759568499999,-114.97657586,1390.6,16,100.0,80.0,0,132,29,99,11435,0.0,57432.04494018554,10296.227221679686,40942.329034423834,4609147.744555664,0
89011.0,Nevada,36.1198875,36.0452034,-114.9080684,-115.0422202,36.07707013465848,-114.98746005208544,1390.6,6570,95.8029197080292,89.38775510204081,2431,87832,66766,80642,138078,848086.8770263674,38851670.65203862,26399761.2544922,30761196.482348677,55437723.586053446,132
